X,Y,OBJECTID,ADDRESS,LOT_SIZE,PRMT_NR,MUP_APNO,STGLSTTITL,APTYPE,NEW,DEMO,NET_UNITS,SLEEPING_ROOMS,VALUE,TYPE_OCC,DWELTYPE,COMMENTS,APP_DATE,ISS_DATE,YEAR_ISSUED,FINAL_DATE,YEAR_FINAL,VILLNUMB,NAME,TYPE_NAME,COMP_PLAN_NAME,COMP_PLAN_TYPE,CRA_NO,CRA,NEIGHBORHOOD,C_DISTRICT,TRBL2010,TRBG2010,GEOID10,SOURCE,XCOORD,YCOORD,MAF_ID,DEVSITE_ID,RECORDNUMBER,STATUS_COLOR,LONGITUDE,LATITUDE,EXPIRE_DATE,ZONING_FULL,ZONING_PRIMARY,ZONING_REPORT,CATEGORY,CLASS,CONSTR_PRMT_PARENT,GEOID20,TRBL2020,TRBG2020,Q_ISSUED,Q_Y_ISSUED,Q_FINAL,Q_Y_FINAL,CONDO_Y_N
-122.357749774,47.6578371590001,1,106 NW 42ND ST,3314,6217002,,Permit Finaled,Construction Permit,1,0,1,0,267539,ADU,"Accessory Dwelling, Attached",Construct addition to and alter existing single family dwelling and establish new accessory dwelling unit per plan.,2009/09/15 00:00:00+00,2010/01/12 00:00:00+00,2010,2017/02/13 00:00:00+00,2017,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,11.1,Fremont,Lake Union,6,4800.2017,4800.2,530330048002017,ACC,1264761.672,243679.521,89321,DV0023024,6217002-CN,#001a73,-122.3577644,47.65784297,2017/06/06 00:00:00+00,SINGLE FAMILY 5000,SF 5000,SF 5000,SF 5000,SF,,530330048002014,4800.2014,4800.2,1,2010_1,1,2017_1,N
-122.255565235,47.510808996,10,10028 62ND AVE S,5299,6085768,,Permit Finaled,Construction Permit,1,0,1,0,186229,ADU,"Accessory Dwelling, Attached",Construct new SFR addition with breezeway attachment to existing single-family dwelling and establish existing single-family dwelling as an accessory dwelling unit per plan.,2006/05/23 00:00:00+00,2006/06/21 00:00:00+00,2006,2007/06/04 00:00:00+00,2007,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,4.0999999,Rainier Beach,Southeast,2,11900.1024,11900.1,530330119001024,ACC,1288948.4814,189575.8472,206382,DV0068153,6085768-CN,#001a73,-122.25557981,47.51081481,2007/12/21 00:00:00+00,SINGLE FAMILY 5000,SF 5000,SF 5000,SF 5000,SF,,530330119021007,11902.1007,11902.1,2,2006_2,2,2007_2,N
-122.384832773,47.5126491990001,13,10037 41ST AVE SW,5291,6097382,,Permit Finaled,Construction Permit,1,0,1,0,20000,ADU,"Accessory Dwelling, Attached",Establish Accessory Dwelling Unit in basement of existing single family residence per plan.,2006/05/05 00:00:00+00,2006/05/09 00:00:00+00,2006,2006/10/03 00:00:00+00,2006,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,1.1,Arbor Heights,Southwest,1,12000.3020,12000.3,530330120003020,ACC,1257021,190864.15625,601698,DV0060547,6097382-CN,#001a73,-122.38484737,47.512655,2007/11/09 00:00:00+00,SINGLE FAMILY 5000,SF 5000,SF 5000,SF 5000,SF,,530330120003020,12000.3020,12000.3,2,2006_2,4,2006_4,N
-122.317174832,47.702866677,20,1011 NE 103RD ST,7825,6768607,,Permit Finaled,Construction Permit,1,0,1,0,20000,ADU,"Accessory Dwelling, Attached","Construct alterations to convert basement to attached accessory dwelling unit (AADU) in existing single family residence, per plan.",2020/02/24 00:00:00+00,2020/04/16 00:00:00+00,2020,2021/02/18 00:00:00+00,2021,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.1000004,Northgate/Maple Leaf,North,5,1200.1020,1200.1,530330012001020,ACC,1275075.798,259906.28,42852,DV0031855,6768607-CN,#001a73,-122.31718946,47.7028725,2021/10/16 00:00:00+00,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330012022004,1202.2004,1202.2,2,2020_2,1,2021_1,N
-122.35858292,47.633678952,36,102 W GARFIELD ST,3634,6753709,,Permit Finaled,Construction Permit,1,0,1,0,544899,ADU,"Accessory Dwelling, Attached","Establish use as and construct a single-family residence and an attached accessory dwelling unit, per plans",2020/02/15 00:00:00+00,2020/05/11 00:00:00+00,2020,2022/03/08 00:00:00+00,2022,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,12.3,Queen Anne,Magnolia/Queen Anne,7,6800.2018,6800.2,530330068002018,ACC,1264381.75,234873.238,119422,DV1105805,6753709-CN,#001a73,-122.35859754,47.63368477,2021/11/11 00:00:00+00,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330068002014,6800.2014,6800.2,2,2020_2,1,2022_1,N
-122.259739128,47.509103721,41,10221 59TH AVE S,10424,6122958,,Permit Finaled,Construction Permit,1,0,1,0,3000,ADU,"Accessory Dwelling, Attached",Alteration to existing basement to establish as accessory dwelling unit (ADU) in existing single family residence per plan.,2007/02/09 00:00:00+00,2007/02/09 00:00:00+00,2007,2008/05/08 00:00:00+00,2008,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,4.0999999,Rainier Beach,Southeast,2,11900.5007,11900.5,530330119005007,ACC,1287905.6,188973.02,210583,DV0055949,6122958-CN,#001a73,-122.2597537,47.50910954,2008/08/09 00:00:00+00,SINGLE FAMILY 7200,SF 7200,SF 7200,SF 7200,SF,,530330119011009,11901.1009,11901.1,1,2007_1,2,2008_2,N
-122.382703763,47.5108386220001,44,10240 40TH AVE SW,5419,6779930,3036453,Permit Finaled,Construction Permit,1,0,1,0,617299,ADU,"Accessory Dwelling, Attached","Establish use as and construct a single-family residence with an attached accessory dwelling unit (AADU) and a detached accessory dwelling unit (DADU), per plan.",2020/07/13 00:00:00+00,2021/02/15 00:00:00+00,2021,2022/03/28 00:00:00+00,2022,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,1.1,Arbor Heights,Southwest,1,12000.2010,12000.2,530330120002010,ACC,1257533.7395,190193.2556,754372,DV0344458,6779930-CN,#001a73,-122.38271835,47.51084443,2022/08/15 00:00:00+00,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330120002009,12000.2009,12000.2,1,2021_1,1,2022_1,Y
-122.318214611,47.647086593,47,1028 E SHELBY ST,6004,6745984,,Permit Finaled,Construction Permit,1,0,1,0,50000,ADU,"Accessory Dwelling, Attached","Construct alterations to create attached accessory dwelling unit (AADU), per plan.",2019/09/29 00:00:00+00,2019/11/20 00:00:00+00,2019,2021/04/22 00:00:00+00,2021,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,7.0999999,Montlake/Portage Bay,Northeast,3,6100.1022,6100.1,530330061001022,ACC,1274427.257,239568.33,100712,DV0010535,6745984-CN,#001a73,-122.31822922,47.64709241,2021/05/20 00:00:00+00,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330061001023,6100.1023,6100.1,4,2019_4,2,2021_2,N
-122.371701933,47.7035018460001,51,10303 12TH AVE NW,6848,6788591,,Permit Finaled,Construction Permit,1,0,1,0,286487,ADU,"Accessory Dwelling, Attached","Construct single-family residence with attached accessory dwelling unit [AADU], per plan. Existing single-family residence to be converted to detached accessory dwelling unit [DADU].",2020/07/07 00:00:00+00,2020/10/05 00:00:00+00,2020,2021/04/30 00:00:00+00,2021,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,10.1,North Beach/Blue Ridge,Ballard,6,1400.4006,1400.4,530330014004006,ACC,1261656.912,260401.537,39876,DV0020591,6788591-CN,#001a73,-122.37171657,47.70350766,2022/04/05 00:00:00+00,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330014004007,1400.4007,1400.4,4,2020_4,2,2021_2,Y
-122.374336059,47.7035528260001,54,10303 14TH AVE NW,8748,6137916,,Permit Finaled,Construction Permit,1,0,1,0,246111,ADU,"Accessory Dwelling, Attached","Construct 1st floor and basement addition.  Establish ADU in basement of existing one family dwelling, per plan.",2007/06/29 00:00:00+00,2007/08/15 00:00:00+00,2007,2008/10/31 00:00:00+00,2008,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,10.1,North Beach/Blue Ridge,Ballard,6,1600.1013,1600.1,530330016001013,ACC,1261008.826,260433.105,39866,DV0071940,6137916-CN,#001a73,-122.37435069,47.70355864,2009/02/15 00:00:00+00,SINGLE FAMILY 7200,SF 7200,SF 7200,SF 7200,SF,,530330016001016,1600.1016,1600.1,3,2007_3,4,2008_4,N
