X,Y,OBJECTID,ADDRESS,LOT_SIZE,PRMT_NR,MUP_APNO,STGLSTTITL,APTYPE,NEW,DEMO,NET_UNITS,SLEEPING_ROOMS,VALUE,TYPE_OCC,DWELTYPE,COMMENTS,APP_DATE,ISS_DATE,YEAR_ISSUED,FINAL_DATE,YEAR_FINAL,VILLNUMB,NAME,TYPE_NAME,COMP_PLAN_NAME,COMP_PLAN_TYPE,CRA_NO,CRA,NEIGHBORHOOD,C_DISTRICT,TRBL2010,TRBG2010,GEOID10,SOURCE,XCOORD,YCOORD,MAF_ID,DEVSITE_ID,RECORDNUMBER,STATUS_COLOR,LONGITUDE,LATITUDE,EXPIRE_DATE,ZONING_FULL,ZONING_PRIMARY,ZONING_REPORT,CATEGORY,CLASS,CONSTR_PRMT_PARENT,GEOID20,TRBL2020,TRBG2020,Q_ISSUED,Q_Y_ISSUED,Q_FINAL,Q_Y_FINAL,CONDO_Y_N,INSPECTION_DATE,INSPECTION_TYPE
-122.359266454,47.638820675,2,2212 2ND AVE W,5441,6736806,,Permit Finaled,Construction Permit,1,0,1,0,98635,DADU,"Accessory Dwelling, Detached","Construct a detached garage with a detached accessory dwelling unit above it for a single-family residence, per plan.",2019/10/23 00:00:00+00,2019/12/16 00:00:00+00,2019,2020/10/23 00:00:00+00,2020,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,12.3,Queen Anne,Magnolia/Queen Anne,7,6800.2002,6800.2,530330068002002,ACC,1264250.44,236751.733,118695,DV0016850,6736806-CN,#001a73,-122.35928107,47.63882649,2021/06/16 00:00:00+00,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330068003003,6800.3003,6800.3,4,2019_4,4,2020_4,N,2020/10/23 00:00:00+00,Building Final
-122.323006757,47.7170179490001,12,12038 5TH AVE NE,7796,6819509,,Permit Finaled,Construction Permit,1,0,1,0,312068,DADU,"Accessory Dwelling, Detached","Construct a single-family residence and an attached accessory dwelling unit and establish the existing house as a detached accessory dwelling unit, per plans",2021/02/03 00:00:00+00,2021/05/24 00:00:00+00,2021,2022/04/01 00:00:00+00,2022,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,9.5,Haller Lake,Northwest,5,600.5009,600.5,530330006005009,ACC,1273739.9965,265094.9638,755631,DV1179406,6819509-CN,#001a73,-122.32302139,47.71702377,2022/11/24 00:00:00+00,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330006013002,601.3002,601.3,2,2021_2,2,2022_2,Y,2022/04/01 00:00:00+00,Building Final
-122.359698487,47.698022166,18,202 NW 95TH ST,7699,6753948,,Permit Finaled,Construction Permit,1,0,1,0,187545,DADU,"Accessory Dwelling, Detached","Construct detached accessory dwelling unit [DADU], per plan.",2019/12/13 00:00:00+00,2020/03/16 00:00:00+00,2020,2020/11/10 00:00:00+00,2020,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,9.3000002,Greenwood/Phinney Ridge,Northwest,6,1702.4005,1702.4,530330017024005,ACC,1264572.234,258344.28,41105,DV1222368,6753948-CN,#001a73,-122.35971312,47.69802798,2021/09/16 00:00:00+00,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330017024007,1702.4007,1702.4,1,2020_1,4,2020_4,Y,2020/11/10 00:00:00+00,Building Final
-122.282853825,47.7094763580001,21,11036 ALTON AVE NE,7800,6720489,,Permit Finaled,Construction Permit,1,0,1,0,502947,DADU,"Accessory Dwelling, Detached","Establish use as and construct new single family residence and detached accessory dwelling unit, per plan.",2019/05/15 00:00:00+00,2019/10/22 00:00:00+00,2019,2021/03/17 00:00:00+00,2021,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.3000002,Cedar Park/Meadowbrook,North,5,800.2010,800.2,530330008002010,ACC,1283570.47,262155.792,38263,DV1188445,6720489-CN,#001a73,-122.28286845,47.70948218,2021/04/22 00:00:00+00,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330008002008,800.2008,800.2,4,2019_4,1,2021_1,Y,2021/03/17 00:00:00+00,Building Final
-122.357843015,47.709901797,23,11040 1ST AVE NW,7578,6671784,,Permit Finaled,Construction Permit,1,0,1,0,112273,DADU,"Accessory Dwelling, Detached","Construct backyard cottage accessory to single family residence, per plans.  Project includes removal of existing shed.",2018/08/16 00:00:00+00,2018/10/30 00:00:00+00,2018,2019/07/11 00:00:00+00,2019,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,10.1,North Beach/Blue Ridge,Ballard,5,1400.1014,1400.1,530330014001014,ACC,1265114.893,262667.664,34868,DV1145109,6671784-CN,#001a73,-122.35785765,47.70990762,2020/04/30 00:00:00+00,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330014001012,1400.1012,1400.1,4,2018_4,3,2019_3,Y,2019/07/11 00:00:00+00,Building Final
-122.349796369,47.522665573,26,1105 SW HENDERSON ST,5096,6819055,,Permit Finaled,Construction Permit,1,0,1,0,127163,DADU,"Accessory Dwelling, Detached","Construct a detached accessory dwelling unit (DADU) for a single-family residence, per standard plan 6800959",2021/03/24 00:00:00+00,2021/05/28 00:00:00+00,2021,2022/03/29 00:00:00+00,2022,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,2.5,Highland Park,Delridge Neighborhoods,1,11300.3011,11300.3,530330113003011,ACC,1265749.8085,194344.4892,759953,DV0021572,6819055-CN,#001a73,-122.34981096,47.52267138,2022/11/28 00:00:00+00,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330113003011,11300.3011,11300.3,2,2021_2,1,2022_1,N,2022/03/29 00:00:00+00,Building Final
-122.285084032,47.7098063060001,27,11050 40TH AVE NE,11990,6636770,,Permit Finaled,Construction Permit,1,0,1,0,108594,DADU,"Accessory Dwelling, Detached","Construct detached accessory dwelling unit, accessory to existing single family residence, existing garage to be removed, per plan.",2018/07/30 00:00:00+00,2019/04/30 00:00:00+00,2019,2020/10/15 00:00:00+00,2020,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.3000002,Cedar Park/Meadowbrook,North,5,800.2009,800.2,530330008002009,ACC,1283023.768,262286.474,38234,DV0027471,6636770-CN,#001a73,-122.28509865,47.70981213,2020/10/30 00:00:00+00,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330008002007,800.2007,800.2,2,2019_2,4,2020_4,N,2020/10/15 00:00:00+00,Building Final
-122.295087498,47.709912865,28,11051 31ST AVE NE,6227,6801461,,Permit Finaled,Construction Permit,1,0,1,0,137752,DADU,"Accessory Dwelling, Detached","Construct new Detached accessory dwelling unit (DADU) with garage, per plan.",2020/10/14 00:00:00+00,2020/12/03 00:00:00+00,2020,2021/07/01 00:00:00+00,2021,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.3000002,Cedar Park/Meadowbrook,North,5,1000.1011,1000.1,530330010001011,ACC,1280562.142,262371.953,37785,DV1119731,6801461-CN,#001a73,-122.29510212,47.70991869,2022/06/03 00:00:00+00,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330010001009,1000.1009,1000.1,4,2020_4,3,2021_3,Y,2021/07/01 00:00:00+00,Building Final
-122.352503924,47.710359392,29,11056 DAYTON AVE N,7573,6724747,,Permit Finaled,Construction Permit,1,0,1,0,110731,DADU,"Accessory Dwelling, Detached","Establish use as and construct new detached accessory dwelling unit, per plan.",2019/08/26 00:00:00+00,2019/10/09 00:00:00+00,2019,2021/06/17 00:00:00+00,2021,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,10.1,North Beach/Blue Ridge,Ballard,5,1400.1010,1400.1,530330014001010,ACC,1266432.387,262808.555,35285,DV1099701,6724747-CN,#001a73,-122.35251856,47.71036521,2021/04/09 00:00:00+00,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330014001007,1400.1007,1400.1,4,2019_4,2,2021_2,N,2021/06/17 00:00:00+00,Building Final
-122.308802237,47.7142372120001,40,11711 19TH AVE NE,8102,6619625,,Permit Finaled,Construction Permit,1,0,1,0,54693,DADU,"Accessory Dwelling, Detached","Construct a detached accessory dwelling unit (DADU) to existing single family residence, per plan.",2017/11/01 00:00:00+00,2018/10/09 00:00:00+00,2018,2019/03/04 00:00:00+00,2019,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.1999998,Olympic Hills/Victory Heights,North,5,700.4005,700.4,530330007004005,ACC,1277216.501,264013.472,32752,DV0093989,6619625-CN,#001a73,-122.30881686,47.71424304,2020/04/09 00:00:00+00,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330007001008,700.1008,700.1,4,2018_4,1,2019_1,N,2019/03/04 00:00:00+00,Building Final
